submission_id,submission_date,gender,age,geography,financial_situation,education,employment_status,submission_state,are_there_children_0_to_2_yrs_out_of_educational_system,were_children_3_to_17_yrs_enrolled_and_did_not_return_to_school,are_there_children_who_stopped_enrolling_in_primary_education,are_there_children_who_stopped_enrolling_in_secondary_education,are_children_attending_face_to_face_classes,can_children_observe_deterioration_of_basic_services_of_school,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_teachers_at_scheduled_class_hours,are_children_3_to_17_yrs_dealing_with_irregular_school_activity,are_children_being_teached_by_unqualified_people,did_teachers_leave_the_educational_system,do_school_and_the_teachers_have_internet_connection,do_children_have_internet_connection,do_children_3_to_17_yrs_miss_virtual_class_due_to_lack_of_electricity,does_home_shows_severe_deficit_of_electricity,does_home_shows_severe_deficit_of_internet,do_children_3_to_17_yrs_miss_class_or_in_lower_grade,are_children_promoted_with_a_modality_different_from_formal_evaluation
5.65E+15,2021/4/26,1,1,2,0,Some university or college,"I work part-time, either as an employee or self-employed",3.04,0,1,0,0,1,1,5,Irregularly,0,1,0,1,1,0,1,1,0,1
5.82E+15,2021/3/14,1,2,2,0,University or college degree completed,"I work part-time, either as an employee or self-employed",3.04,1,0,0,0,0,0,5,Irregularly,1,0,1,0,0,0,0,1,0,0
6.23E+15,2021/3/13,1,2,1,1,University or college degree completed,I am a student and I work part-time,3.04,0,1,0,0,0,1,5,Irregularly,0,0,1,0,0,1,0,1,0,0
6.44E+15,2021/3/29,1,1,2,5,University or college degree completed,I am unemployed,3.04,0,1,0,0,0,1,5,Irregularly,1,0,1,0,1,1,0,0,0,0
5.82E+15,2021/3/15,0,2,2,2,University or college degree completed,"I work full-time, either as an employee or self-employed",3.04,1,0,0,1,0,1,5,Irregularly,1,0,1,0,1,1,1,1,0,1
5.13E+15,2021/3/24,0,1,2,5,Some secondary school / high school,"I do housework, fulfilling domestic tasks, looking after children",3.04,0,1,0,0,0,1,5,Irregularly,0,0,0,0,0,1,0,1,0,0
4.57E+15,2021/3/17,0,3,2,0,University or college degree completed,I am unemployed,3.04,0,1,1,0,0,1,4,Irregularly,0,0,0,1,1,0,0,0,0,0
5.86E+15,2021/3/15,0,2,0,3,Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",3.04,0,0,1,1,0,0,1,Irregularly,0,1,1,1,0,0,0,0,0,1
6.35E+15,2021/3/23,0,3,1,5,University or college degree completed,I am retired,3.04,0,0,0,0,0,1,5,Irregularly,0,1,1,1,0,1,0,0,0,1
5.32E+15,2021/3/22,0,1,1,1,Some university or college,"I do housework, fulfilling domestic tasks, looking after children",3.91,1,1,0,0,0,1,5,Irregularly,0,0,0,0,0,1,1,1,0,1
6.70E+15,2021/4/2,0,4,0,5,Secondary school/ high school completed,I am a student,1.96,0,0,0,0,0,1,5,Irregularly,1,1,1,1,1,1,0,1,0,0
6.26E+15,2021/3/16,1,0,1,1,Primary school completed,I am a student,1.96,0,1,1,0,0,1,5,Irregularly,1,0,0,1,1,0,0,1,1,0
6.11E+15,2021/3/14,0,3,0,0,University or college degree completed,I am unemployed,1.96,0,0,0,0,0,1,5,Irregularly,1,0,1,0,0,0,0,0,1,0
6.53E+15,2021/4/4,1,2,0,5,University or college degree completed,I am unemployed,1.96,0,1,0,0,0,1,5,Irregularly,0,0,0,0,0,0,0,1,0,1
5.35E+15,2021/3/15,0,1,1,1,University or college degree completed,I am unemployed,4.13,1,1,0,0,0,1,0,Irregularly,1,0,1,1,0,1,1,1,0,0
5.05E+15,2021/3/17,0,2,1,1,Some technical education (e.g polytechnic school),I am retired,4.13,0,0,0,0,0,1,5,Irregularly,1,0,0,0,1,1,1,1,1,0
4.55E+15,2021/3/19,1,2,1,5,Secondary school/ high school completed,"I do housework, fulfilling domestic tasks, looking after children",4.13,0,1,0,0,0,1,5,Irregularly,0,0,0,1,1,1,1,1,1,0
4.83E+15,2021/3/15,1,1,0,2,University or college degree completed,"I work full-time, either as an employee or self-employed",4.13,0,0,0,0,0,1,5,Irregularly,0,0,0,0,1,1,1,0,0,0
4.93E+15,2021/9/27,0,0,2,1,University or college degree completed,"I work part-time, either as an employee or self-employed",4.13,0,0,0,0,0,1,5,Irregularly,1,0,1,0,1,1,0,0,0,0
5.24E+15,2021/3/18,1,2,2,5,University or college degree completed,I am unemployed,4.13,0,0,0,0,0,0,5,Irregularly,1,0,0,0,0,0,0,0,0,0
5.84E+15,2021/3/13,1,1,0,2,Technical school diploma or degree completed,"I work full-time, either as an employee or self-employed",4.13,1,1,0,0,0,0,5,Irregularly,1,0,1,1,1,1,1,1,0,1
5.87E+15,2021/3/13,0,3,1,0,Technical school diploma or degree completed,"I work part-time, either as an employee or self-employed",2.83,0,1,0,0,0,0,5,Irregularly,1,0,1,0,1,1,0,0,0,0
6.73E+15,2021/3/21,0,1,2,1,Secondary school/ high school completed,I am a student and I work part-time,2.83,0,1,0,0,0,1,5,Irregularly,1,0,0,0,1,1,0,0,0,1
6.02E+15,2021/3/15,1,0,2,5,Some university or college,I am a student and I work part-time,2.83,1,1,0,0,0,1,5,Irregularly,1,1,1,0,1,1,0,1,0,0
5.28E+15,2021/3/29,0,2,1,1,Post-graduate education,"I work part-time, either as an employee or self-employed",2.83,0,0,0,0,1,1,3,Irregularly,0,1,1,0,0,1,1,1,0,1
5.28E+15,2021/4/7,0,0,2,5,Some university or college,"I do housework, fulfilling domestic tasks, looking after children",2.83,1,1,0,0,0,1,5,Irregularly,1,1,1,0,1,1,0,0,1,1
6.24E+15,2021/3/22,0,0,1,5,Secondary school/ high school completed,I am a student,2.83,0,0,0,0,0,1,5,Irregularly,1,0,1,1,1,1,1,1,0,1
4.52E+15,2021/3/17,1,0,1,5,Prefer not to answer,I am a student,2.83,0,0,0,0,1,1,5,Irregularly,1,0,1,0,1,0,1,1,0,0
4.60E+15,2021/3/28,1,0,1,5,Primary school completed,I am a student,1.3,0,0,0,0,1,0,5,Irregularly,0,0,1,0,1,1,1,0,1,0
